respondent_id,variant,answer_a,answer_b,answer_c,answer_d,answer_e,completion_minutes,BR
1,A,Not at all interested,Yes,No,Yes,Credit card,13.2,0
2,A,Somewhat interested,Yes,No,Yes,Debit card,11.4,1
3,A,Somewhat interested,No,Yes,No,Debit card,8.7,0
4,A,Somewhat interested,Yes,No,Yes,Debit card,18.5,0
5,A,Somewhat interested,Yes,No,Yes,Credit card,16.1,0
6,A,Slightly interested,Yes,No,Yes,Credit card,7,0
7,A,Not at all interested,Yes,No,Yes,Debit card,12.3,0
8,A,Not at all interested,No,Yes,No,Debit card,20.1,0
9,A,Very interested,Yes,No,Yes,Debit card,14.3,0
10,A,Very interested,Yes,No,Yes,BNPL,2.8,1
11,A,Not at all interested,No,Yes,No,Cash,16,0
12,A,Somewhat interested,Yes,No,Yes,Cash,12.2,0
13,A,Somewhat interested,Yes,No,Yes,Cash,5.3,0
14,A,Somewhat interested,Yes,No,Yes,Cash,17.6,0
15,A,Not at all interested,Yes,No,Yes,Credit card,8.9,0
16,A,Somewhat interested,Yes,No,Yes,Debit card,8.1,0
17,A,Somewhat interested,No,Yes,No,Debit card,17.2,0
18,A,Somewhat interested,Yes,No,Yes,Debit card,8.7,0
19,A,Somewhat interested,Yes,No,Yes,Credit card,3.3,0
20,A,Slightly interested,Yes,No,Yes,Credit card,17.8,0
21,A,Not at all interested,Yes,No,Yes,Debit card,8.6,0
22,A,Not at all interested,No,No,No,Debit card,7,0
23,A,Very interested,Yes,No,Yes,Debit card,13.6,0
24,A,Very interested,No,No,No,BNPL,10.4,0
25,A,Somewhat interested,No,Yes,No,Cash,1.6,1
26,A,Slightly interested,Yes,No,Yes,Cash,13.9,0
27,A,Not at all interested,Yes,No,Yes,Cash,21,0
28,A,Not at all interested,No,Yes,No,Cash,12.9,0
29,A,Somewhat interested,Yes,No,Yes,Credit card,17.1,0
30,A,Somewhat interested,Yes,No,Yes,Debit card,16,0
31,A,Somewhat interested,Yes,No,Yes,Debit card,16.7,0
32,A,Somewhat interested,Yes,No,Yes,Debit card,6.9,1
33,A,Slightly interested,No,Yes,No,Credit card,11.7,0
34,A,Not at all interested,Yes,No,No,Credit card,18.1,0
35,A,Not at all interested,Yes,No,Yes,Debit card,6.6,0
36,A,Very interested,No,No,Yes,Debit card,18.7,0
37,A,Very interested,Yes,No,Yes,Debit card,11.5,0
38,A,Very interested,Yes,No,Yes,BNPL,3.1,1
